îN,ê´,çáåv,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
2020,1,61349581,428005,446054,468457,480153,501907,514130,513861,524747,526616,540528,545068,547643,557531,555138,550198,552565,574977,581329,601356,617391,635288,636254,650572,654083,657797,666373,664013,648773,653163,646827,658299,668200,687872,703827,713052,736009,759345,767985,767910,774703,808361,828439,858203,880994,922678,959382,1014419,1028714,1011319,980062,948528,931255,908002,904190,702426,865574,809982,787524,760609,743211,744337,755785,730040,707360,739220,758861,753073,791277,828019,868112,918371,994845,968781,906112,548814,571689,681688,643636,643418,605752,527887,438311,441377,426809,397396,346288,296592,264598,227782,189088,152333,123329,97680,71879,53891,37221,24411,15549,9957,6309,4203,2158,1385,888,483,716
2021,1,61019059,424679,427186,445687,468124,479933,501716,513940,513743,524738,526605,540466,545175,547862,557623,555299,550482,552518,574885,581759,604471,623822,637522,637146,652223,653993,655903,663750,661024,645765,649639,644077,655259,665297,685449,701519,710952,734104,757654,766460,766356,773380,806933,827100,856980,879576,921197,957734,1012455,1026559,1009248,977600,946030,928530,905115,901115,699663,861967,806084,783773,756588,739024,739361,750320,724274,701239,731982,750775,744166,780861,816077,854298,901855,975395,948192,885288,534662,555354,660381,621441,618961,579922,502604,414690,415101,398003,367579,316393,267935,235688,199786,162753,128804,102844,79879,55915,40938,27958,17973,10983,6989,4102,2639,1308,810,500,626
2022,1,60757789,409369,423729,427011,445732,468112,479967,501749,513992,513920,524934,526927,540926,545768,548142,558067,555846,550803,553288,579287,590972,617502,637738,650023,648791,661796,660337,659525,666224,662300,646151,650081,644175,655061,665227,685411,701044,710508,733739,756983,765958,765851,772833,806467,826529,856249,878784,920416,956644,1011046,1024995,1007359,975640,943948,926216,902481,898108,697098,858603,802585,780072,752610,734359,734175,744574,718153,694588,724083,742003,734397,769506,802850,839103,883813,954136,925201,861686,518776,537270,636473,597064,591425,551175,474934,388980,385933,366607,335181,284477,237501,205721,171250,137200,106155,83121,63092,43063,30044,19028,12018,7010,4265,2476,1537,735,438,563
2023,1,60492427,387900,408872,423411,426937,445852,468140,480053,501888,514207,514139,525372,527241,541446,545997,548480,558540,556016,551241,559011,593468,606082,632170,653423,662836,657308,668241,665467,664192,669768,665630,649556,653190,646559,657189,666884,686831,702286,711512,734477,757617,766507,765977,772824,806227,826394,855881,878471,919728,955782,1009851,1023336,1005615,973787,941789,923900,899939,894954,694501,855001,798732,775991,747932,729204,728239,737959,710991,686818,715292,732141,723384,756464,787981,822112,863964,930516,900267,835869,501621,517656,610023,569873,561579,520197,444937,361404,354751,333644,301011,251898,206450,175664,143725,112784,84838,64876,47908,30941,20960,12975,7985,4531,2872,1608,963,444,559
2024,1,60176040,396958,393332,408470,429088,428045,446177,468649,480528,502515,514970,514941,526029,528020,542040,546590,549095,559357,558748,557501,564568,591064,600229,621812,638614,656166,655058,665646,665014,665474,671929,668139,651799,655260,648208,658976,668089,686888,702137,711011,733843,757109,765657,765405,771950,805281,825021,854313,876569,917466,953272,1007182,1020454,1002157,970055,937619,919380,895280,890174,690414,849490,793364,769767,741686,722882,722005,730899,703615,679194,706846,722234,713014,744959,774597,806433,846724,909670,878346,814006,487881,501342,588244,545970,534629,491698,417577,336297,326763,303374,269584,223010,180177,150716,120887,92845,68990,51076,36506,24122,16184,9905,5723,3194,1783,981,566,546
2025,1,59882271,397198,396958,393460,408647,429250,428195,446348,468876,480825,502891,515409,515399,526485,528502,542485,546971,549980,561671,562871,563269,571568,598825,608395,629914,645834,661706,658955,668525,667281,667269,673309,669163,652543,655745,648409,658870,667736,686408,701634,710514,733306,756490,764960,764657,771143,804355,823948,853052,875117,915767,951281,1004810,1017747,999191,966887,934256,915761,891403,885925,686734,844539,788278,764357,735976,716773,715287,723395,695643,670711,697138,711354,701260,731525,759282,788900,826423,885586,852649,787657,470341,481202,561681,518154,503849,459688,386811,308234,295887,270977,237172,192970,153141,125654,98695,74077,53665,38644,26812,17169,11148,6595,3680,1981,1066,565,595
2026,1,59578938,395331,397203,397087,393645,408815,429401,428368,446575,469172,481198,503327,515868,515851,526967,528945,542866,547857,552299,565794,568634,570275,579363,606995,616496,637137,651382,665603,661844,670792,669079,668657,674334,669899,653034,655947,648315,658529,667275,685922,701150,710001,732713,755811,764224,763870,770269,803325,822747,851657,873515,913878,949064,1002178,1014776,995975,963468,930628,911849,887201,881308,682751,839200,782810,758548,729835,710186,708033,715301,687061,661604,686753,699755,688748,717216,742953,770192,804781,859958,825348,759653,451664,459732,533412,488683,471439,426220,354911,279443,264641,238742,205541,164282,127896,102775,78900,57745,40696,28450,19131,11857,7442,4251,2288,1187,616,624
2027,1,59268274,395173,395341,397334,397272,393817,408968,429574,428595,446869,469543,481629,503783,516321,516331,527411,529325,543754,550179,556434,571555,575634,578075,587547,615096,623716,642690,655288,668491,664121,672590,670470,669689,675072,670384,653241,655852,647986,658079,666807,685454,700650,709434,732063,755094,763449,763016,769294,802169,821418,850119,871735,911772,946602,999288,1011555,992502,959778,926704,907608,882635,876303,678462,833457,776935,752300,723211,703069,700205,706583,677841,651857,675675,687401,675418,701956,725523,750239,781740,832718,796325,729831,431749,436870,503435,457620,437517,391476,322136,250258,233490,207215,175265,137432,104797,82321,61634,43888,30031,20349,13244,7935,4809,2650,1375,687,668
2028,1,58951691,395929,395187,395477,397520,397444,393973,409143,429802,428888,447237,469972,482077,504232,516801,516773,527791,530213,546078,554318,562214,578553,583429,586262,595647,622316,629276,646605,658185,670767,665929,673982,671505,670433,675557,670584,653153,655523,647549,657622,666357,684972,700097,708812,731378,754340,762610,762064,768200,800890,819953,848407,869747,909431,943898,996153,1008074,988752,955786,922449,902997,877683,870901,673853,827285,770615,745556,716052,695389,691769,697212,667966,641453,663871,674235,661197,685662,706927,728987,757239,803750,765411,698023,410532,412608,471808,425073,402260,355731,288858,221106,202958,176972,146865,112811,84100,64438,46946,32462,21531,14122,8886,5141,3005,1596,798,733
2029,1,58629445,396469,395947,395325,395665,397693,397600,394148,409370,430096,429253,447659,470417,482519,504709,517244,517153,528681,532544,550225,560105,569232,586348,591617,594364,602865,627878,633204,649512,660471,672574,667330,675018,672252,670926,675759,670489,652831,655086,647104,657184,665894,684438,699491,708156,730658,753523,761673,760995,766989,799480,818321,846495,867535,906860,940966,992766,1004314,984694,951455,917821,897994,872337,865087,668902,820641,763791,738266,708323,687108,682698,687167,657418,630362,651286,660186,646010,668271,687110,706376,731176,772891,732433,664120,387997,386986,438635,391205,365938,319379,255556,192474,173605,148538,120763,90700,65963,49189,34803,23329,14979,9498,5770,3220,1815,929,831
