年齢別年金支給額割合,,,,,,,,,,,,,,,,,,,
年度,性別：男,J：額,,,,,,,,,,,,,,,,,
21,1,1,,,,,,,,,,,,,,,,,
,新法老齢退職,新法老齢在職,新法通老退職,新法通老在職,旧法老齢退職,旧法老齢在職,旧法通老退職,旧法通老在職,新法障害,旧法障害,新法遺族,旧法遺族,旧法通遺,老齢基礎,通老基礎,障害基礎,遺族基礎,障害みなし基礎,遺族基礎（親なし子）
112,0.995739122,0.850874283,0.993650967,0.901040934,0.995674951,0.915880624,0.981989633,0.928901277,0.145647583,0.76305433,0.989151117,0.95654717,0.95654717,0.999041941,0.994245181,0.729030868,0.998018474,0.822489658,0
113,0.995739122,0.850874283,0.993650967,0.901040934,0.995674951,0.915880624,0.981989633,0.928901277,0.145647583,0.76305433,0.989151117,0.960127399,0.960127399,0.999041941,0.994245181,0.729030868,0.998018474,0.822489658,0
114,0.995739122,0.850874283,0.993650967,0.901040934,0.995674951,0.915880624,0.981989633,0.928901277,0.145647583,0.76305433,0.989151117,0.960573002,0.960573002,0.999041941,0.994245181,0.729030868,0.998018474,0.822489658,0
115,0.995739122,0.850874283,0.993650967,0.901040934,0.995674951,0.915880624,0.981989633,0.928901277,0.145647583,0.76305433,0.989151117,0.959237837,0.959237837,0.999041941,0.994245181,0.729030868,0.998018474,0.822489658,0
年度,性別：男,J：人,,,,,,,,,,,,,,,,,
21,1,2,,,,,,,,,,,,,,,,,
,新法老齢退職,新法老齢在職,新法通老退職,新法通老在職,旧法老齢退職,旧法老齢在職,旧法通老退職,旧法通老在職,新法障害,旧法障害,新法遺族,旧法遺族,旧法通遺,老齢基礎,通老基礎,障害基礎,遺族基礎,障害みなし基礎,遺族基礎（親なし子）
0,0,0,0,0,0,0,0,0,0,0,0.235805211,0,0,0,0,0,0.038103643,0,0.259262805
1,0,0,0,0,0,0,0,0,0,0,0.235805211,0,0,0,0,0,0.038103643,0,0.259262805
2,0,0,0,0,0,0,0,0,0,0,0.235805211,0,0,0,0,0,0.038103643,0,0.259262805
3,0,0,0,0,0,0,0,0,0,0,0.235805211,0,0,0,0,0,0.038103643,0,0.259262805
4,0,0,0,0,0,0,0,0,0,0,0.235805211,0,0,0,0,0,0.038103643,0,0.259262805
5,0,0,0,0,0,0,0,0,0,0,0.235805211,0,0,0,0,0,0.038103643,0,0.259262805
6,0,0,0,0,0,0,0,0,0,0,0.235805211,0,0,0,0,0,0.038103643,0,0.259262805
7,0,0,0,0,0,0,0,0,0,0,0.235805211,0,0,0,0,0,0.038103643,0,0.259262805
8,0,0,0,0,0,0,0,0,0,0,0.235805211,0,0,0,0,0,0.038103643,0,0.259262805
9,0,0,0,0,0,0,0,0,0,0,0.235805211,0,0,0,0,0,0.038103643,0,0.259262805
10,0,0,0,0,0,0,0,0,0,0,0.235805211,0,0,0,0,0,0.038103643,0,0.259262805
11,0,0,0,0,0,0,0,0,0,0,0.235805211,0,0,0,0,0,0.038103643,0,0.259262805
12,0,0,0,0,0,0,0,0,0,0,0.235805211,0,0,0,0,0,0.038103643,0,0.259262805
13,0,0,0,0,0,0,0,0,0,0,0.235805211,0,0,0,0,0,0.038103643,0,0.259262805
14,0,0,0,0,0,0,0,0,0,0,0.235805211,0,0,0,0,0,0.038103643,0,0.259262805
15,0,0,0,0,0,0,0,0,0.995943128,1,0.235805211,0,0,0,0,0.998433505,0.038103643,0,0.259262805
16,0,0,0,0,0,0,0,0,0.995655428,1,0.235805211,0,0,0,0,0.998316877,0.038103643,0,0.259262805
17,0,0,0,0,0,0,0,0,0.995227388,1,0.235805211,0,0,0,0,0.998142847,0.038103643,0,0.259262805
18,0,0,0,0,0,0,0,0,0.994705464,1,0.235805211,1,1,0,0,0.997929846,0.038103643,0,0.259262805
19,0,0,0,0,0,0,0,0,0.994132828,1,0.991716702,1,1,0,0,0.997695035,0.998018474,0,0
20,0,0,0,0,0,0,0,0,0.993653314,1,0.991716702,1,1,0,0,0.997441171,0.998018474,0,0
21,0,0,0,0,0,0,0,0,0.992942079,1,0.991716702,1,1,0,0,0.997159346,0.998018474,0,0
22,0,0,0,0,0,0,0,0,0.991717789,1,0.991716702,1,1,0,0,0.996846482,0.998018474,0,0
23,0,0,0,0,0,0,0,0,0.989964989,1,0.991716702,1,1,0,0,0.996499159,0.998018474,0,0
24,0,0,0,0,0,0,0,0,0.988502142,1,0.991716702,1,1,0,0,0.996113583,0.998018474,0,0
25,0,0,0,0,0,0,0,0,0.988212108,1,0.991716702,1,1,0,0,0.99568554,0.998018474,0,0
26,0,0,0,0,0,0,0,0,0.988938738,1,0.991716702,1,1,0,0,0.99522517,0.998018474,0,0
27,0,0,0,0,0,0,0,0,0.989567989,1,0.991716702,1,1,0,0,0.994674436,0.998018474,0,0
28,0,0,0,0,0,0,0,0,0.988633481,1,0.991716702,1,1,0,0,0.994020657,0.998018474,0,0
29,0,0,0,0,0,0,0,0,0.985785343,1,0.991716702,1,1,0,0,0.993416144,0.998018474,0,0
30,0,0,0,0,0,0,0,0,0.98199113,1,0.991716702,1,1,0,0,0.992774754,0.998018474,0,0
31,0,0,0,0,0,0,0,0,0.978547152,1,0.991716702,1,1,0,0,0.991955897,0.998018474,0,0
32,0,0,0,0,0,0,0,0,0.97613217,1,0.991716702,1,1,0,0,0.990898568,0.998018474,0,0
33,0,0,0,0,0,0,0,0,0.974343593,1,0.991716702,1,1,0,0,0.989952728,0.998018474,0,0
34,0,0,0,0,0,0,0,0,0.972466768,1,0.991716702,1,1,0,0,0.98950611,0.998018474,0,0
35,0,0,0,0,0,0,0,0,0.96995539,1,0.991716702,1,1,0,0,0.989540772,0.998018474,0,0
36,0,0,0,0,0,0,0,0,0.966806248,1,0.991716702,1,1,0,0,0.98956466,0.998018474,0,0
37,0,0,0,0,0,0,0,0,0.963563301,1,0.991716702,1,1,0,0,0.988951229,0.998018474,0,0
38,0,0,0,0,0,0,0,0,0.960778042,1,0.991716702,1,1,0,0,0.987581429,0.998018474,0,0
39,0,0,0,0,0,0,0,0,0.958702189,1,0.991716702,1,1,0,0,0.986051991,0.998018474,0,0
40,0,0,0,0,0,0,0,0,0.957098108,1,0.991716702,1,1,0,0,0.984929318,0.998018474,0,0
41,0,0,0,0,0,0,0,0,0.955794427,1,0.991716702,1,1,0,0,0.984485811,0.998018474,0,0
42,0,0,0,0,0,0,0,0,0.954632223,1,0.991716702,1,1,0,0,0.984423556,0.998018474,0,0
43,0,0,0,0,0,0,0,0,0.953714,1,0.991716702,1,1,0,0,0.984482589,0.998018474,0,0
44,0,0,0,0,0,0,0,0,0.95291768,1,0.991716702,1,1,0,0,0.98451071,0.998018474,0,0
45,0,0,0,0,0.978574429,0.986046512,1,0.971014493,0.952174762,1,0.991716702,1,1,1,1,0.984600409,0.998018474,0,0
46,0,0,0,0,0.978574429,0.986046512,1,0.971014493,0.951553875,1,0.991716702,1,1,1,1,0.984853455,0.998018474,0,0
47,0,0,0,0,0.978574429,0.986046512,1,0.971014493,0.951185722,1,0.991716702,1,1,1,1,0.985333632,0.998018474,0,0
48,0,0,0,0,0.978574429,0.986046512,1,0.971014493,0.951157204,1,0.991716702,1,1,1,1,0.985922437,0.998018474,0,0
49,0,0,0,0,0.978574429,0.986046512,1,0.971014493,0.951206249,1,0.991716702,1,1,1,1,0.986405759,0.998018474,0,0
50,0,0,0,0,0.978574429,0.986046512,1,0.971014493,0.95113669,1,0.991716702,1,1,1,1,0.986637636,0.998018474,1,0
51,0,0,0,0,0.978574429,0.986046512,1,0.971014493,0.951078032,1,0.991716702,1,1,1,1,0.986738254,0.998018474,1,0
52,0,0,0,0,0.978574429,0.986046512,1,0.971014493,0.951370122,1,0.991716702,1,1,1,1,0.98692081,0.998018474,1,0
53,0,0,0,0,0.978574429,0.986046512,1,0.971014493,0.952210408,0.999590316,0.991716702,1,1,1,1,0.987336371,0.998018474,1,0
54,0,0,0,0,0.978574429,0.986046512,1,0.971014493,0.953200194,0.99643012,0.991716702,1,1,1,1,0.987872889,0.998018474,1,0
55,0,0,0,0,0.978574429,0.986046512,1,0.971014493,0.953999595,0.991522151,0.991716702,1,1,1,1,0.988408396,0.998018474,1,0
