�Z����㍤,怄���,�X�㍤,合䦈,15㫳,16㫳,17㫳,18㫳,19㫳,20㫳,21㫳,22㫳,23㫳,24㫳,25㫳,26㫳,27㫳,28㫳,29㫳,30㫳,31㫳,32㫳,33㫳,34㫳,35㫳,36㫳,37㫳,38㫳,39㫳,40㫳,41㫳,42㫳,43㫳,44㫳,45㫳,46㫳,47㫳,48㫳,49㫳,50㫳,51㫳,52㫳,53㫳,54㫳,55㫳,56㫳,57㫳,58㫳,59㫳,60㫳,61㫳,62㫳,63㫳,64㫳,65㫳,66㫳,67㫳,68㫳,69㫳,70㫳,71㫳,72㫳,73㫳,74㫳,75㫳,76㫳,77㫳,78㫳,79㫳,80㫳,81㫳,82㫳,83㫳,84㫳,85㫳,86㫳,87㫳,88㫳,89㫳,90㫳,91㫳,92㫳,93㫳,94㫳,95㫳,96㫳,97㫳,98㫳,99㫳,100㫳
3,1,2020,236748,0,0,0,0,34,52,217,453,2100,2483,3301,4075,4065,4394,4629,4776,4833,5354,5366,5197,5079,5255,5231,5311,5314,5384,5351,5586,5657,5570,5618,5740,5819,5926,5705,5691,5459,5333,5267,4783,5522,6058,5866,6112,5901,6100,6277,6374,5983,5549,5157,3448,3083,2697,2213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2021,236777,0,1,0,1,33,48,243,398,2021,2442,3304,3665,4361,4298,4517,4762,4927,4932,5390,5494,5230,5078,5323,5224,5304,5334,5377,5394,5612,5718,5592,5617,5780,5844,5933,5759,5698,5495,5356,5285,4926,5568,6066,5887,6136,5959,6438,6232,6216,5734,5190,3471,3143,2727,2294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2022,236817,0,0,0,2,39,46,227,425,2149,2446,3207,3660,3902,4635,4440,4640,4983,4939,4903,5378,5498,5240,5123,5309,5183,5294,5345,5413,5374,5619,5734,5617,5603,5793,5838,5971,5789,5720,5493,5412,5424,4993,5570,6078,5893,6118,6323,6490,6146,5962,5427,3565,3193,2856,2390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2023,236674,0,0,0,1,38,51,253,469,2142,2547,3303,3739,3993,4211,4809,4646,4835,5112,5057,5030,5432,5518,5275,5137,5331,5205,5304,5371,5456,5430,5664,5760,5656,5640,5824,5869,5982,5802,5729,5538,5513,5469,5034,5602,6102,5944,6506,6282,6349,5895,5356,3360,3082,2683,2338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2024,236749,0,0,0,1,38,50,258,493,2190,2544,3398,3827,4065,4293,4451,4968,4844,4985,5216,5172,5118,5460,5534,5281,5172,5347,5222,5333,5417,5510,5483,5693,5796,5692,5677,5856,5884,5991,5810,5769,5637,5557,5496,5083,5641,6146,6354,6456,6155,6083,5296,3316,2905,2590,2196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2025,236672,0,0,0,1,37,49,255,494,2185,2577,3378,3896,4129,4342,4509,4647,5114,4983,5093,5307,5239,5164,5474,5516,5300,5192,5351,5251,5376,5468,5556,5515,5727,5825,5724,5711,5870,5893,5990,5845,5858,5674,5578,5528,5134,5699,6521,6309,6315,5901,5465,3279,2867,2441,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2026,236568,0,0,0,1,37,48,252,490,2177,2570,3401,3874,4185,4392,4546,4693,4830,5219,5087,5192,5359,5273,5198,5459,5519,5310,5204,5373,5296,5428,5515,5584,5554,5757,5852,5755,5728,5879,5895,6018,5931,5888,5691,5607,5565,5211,6113,6464,6175,6047,5301,3383,2835,2409,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2027,236436,0,0,0,1,37,48,249,484,2153,2556,3382,3883,4156,4429,4579,4716,4861,4959,5292,5180,5249,5378,5294,5198,5461,5512,5312,5229,5411,5348,5473,5542,5618,5586,5784,5878,5768,5739,5879,5924,6096,5956,5896,5714,5640,5621,5663,6076,6318,5915,5432,3282,2925,2382,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2028,236276,0,0,0,1,37,48,249,481,2146,2533,3369,3865,4164,4405,4611,4744,4880,4986,5058,5365,5238,5277,5391,5286,5217,5458,5502,5331,5272,5458,5396,5501,5577,5648,5617,5811,5888,5777,5743,5908,6003,6116,5962,5913,5744,5693,6031,5653,5954,6047,5314,3363,2837,2458,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2029,236088,0,0,0,1,36,48,248,480,2135,2524,3343,3850,4143,4406,4585,4767,4901,4999,5080,5151,5403,5264,5296,5375,5297,5226,5450,5512,5369,5323,5501,5426,5537,5608,5677,5648,5822,5893,5779,5775,5987,6024,6116,5976,5936,5792,6091,5997,5556,5710,5432,3290,2907,2384,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2030,233280,0,0,0,1,32,45,220,445,1906,2432,3188,3705,4022,4276,4477,4640,4821,4929,5010,5093,5139,5355,5228,5238,5333,5259,5193,5427,5509,5383,5339,5498,5435,5541,5612,5681,5640,5806,5870,5785,5824,5983,6002,6098,5970,5940,6051,6009,5845,5314,5130,3363,2844,2443,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2031,230313,0,0,0,1,31,42,212,412,1826,2210,3074,3544,3873,4147,4342,4524,4688,4838,4929,5013,5071,5100,5300,5165,5194,5283,5216,5174,5419,5511,5390,5336,5498,5436,5541,5612,5668,5624,5780,5868,5827,5819,5956,5983,6084,5964,6156,5963,5849,5573,4774,3176,2907,2390,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2032,226775,0,0,0,0,29,40,199,393,1716,2111,2826,3402,3697,3981,4194,4370,4550,4689,4820,4913,4974,5016,5045,5215,5110,5137,5225,5184,5165,5413,5502,5375,5331,5488,5430,5534,5591,5644,5597,5771,5897,5813,5789,5928,5962,6061,6133,6046,5795,5567,5007,2955,2746,2443,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2033,223066,0,0,0,0,27,38,193,375,1659,1998,2713,3163,3555,3809,4032,4223,4398,4550,4671,4801,4871,4916,4957,4969,5148,5051,5080,5186,5168,5163,5403,5478,5364,5321,5476,5422,5512,5565,5612,5589,5797,5876,5778,5762,5905,5937,6197,6017,5866,5511,5001,3100,2555,2308,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2034,218555,0,0,0,0,25,35,179,355,1545,1912,2550,3014,3302,3640,3838,4039,4227,4377,4512,4633,4740,4795,4841,4867,4898,5068,4982,5033,5156,5151,5148,5369,5450,5341,5302,5456,5394,5479,5526,5593,5606,5768,5830,5740,5732,5867,6031,6058,5825,5563,4951,3096,2680,2147,1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2035,213344,0,0,0,0,23,32,164,327,1421,1773,2405,2815,3124,3371,3642,3822,4019,4185,4319,4453,4555,4647,4703,4736,4780,4813,4981,4923,4993,5124,5121,5110,5332,5412,5310,5275,5416,5353,5433,5497,5595,5569,5713,5778,5698,5684,5908,5882,5848,5512,4998,3065,2676,2252,1757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
