�Z����㍤,怄���,�X�㍤,合䦈,15㫳,16㫳,17㫳,18㫳,19㫳,20㫳,21㫳,22㫳,23㫳,24㫳,25㫳,26㫳,27㫳,28㫳,29㫳,30㫳,31㫳,32㫳,33㫳,34㫳,35㫳,36㫳,37㫳,38㫳,39㫳,40㫳,41㫳,42㫳,43㫳,44㫳,45㫳,46㫳,47㫳,48㫳,49㫳,50㫳,51㫳,52㫳,53㫳,54㫳,55㫳,56㫳,57㫳,58㫳,59㫳,60㫳,61㫳,62㫳,63㫳,64㫳,65㫳,66㫳,67㫳,68㫳,69㫳,70㫳,71㫳,72㫳,73㫳,74㫳,75㫳,76㫳,77㫳,78㫳,79㫳,80㫳,81㫳,82㫳,83㫳,84㫳,85㫳,86㫳,87㫳,88㫳,89㫳,90㫳,91㫳,92㫳,93㫳,94㫳,95㫳,96㫳,97㫳,98㫳,99㫳,100㫳
3,1,2020,236748,0,0,0,0,34,52,217,453,2100,2483,3301,4075,4065,4394,4629,4776,4833,5354,5366,5197,5079,5255,5231,5311,5314,5384,5351,5586,5657,5570,5618,5740,5819,5926,5705,5691,5459,5333,5267,4783,5522,6058,5866,6112,5901,6100,6277,6374,5983,5549,5157,3448,3083,2697,2213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2021,236777,0,1,0,1,33,48,243,398,2021,2442,3304,3665,4361,4298,4517,4762,4927,4932,5390,5494,5230,5078,5323,5224,5304,5334,5377,5394,5612,5718,5592,5617,5780,5844,5933,5759,5698,5495,5356,5285,4926,5568,6066,5887,6136,5959,6438,6232,6216,5734,5190,3471,3143,2727,2294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2022,236817,0,0,0,2,39,46,227,425,2149,2446,3207,3660,3902,4635,4440,4640,4983,4939,4903,5378,5498,5240,5123,5309,5183,5294,5345,5413,5374,5619,5734,5617,5603,5793,5838,5971,5789,5720,5493,5412,5424,4993,5570,6078,5893,6118,6323,6490,6146,5962,5427,3565,3193,2856,2390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2023,236674,0,0,0,1,38,51,253,469,2142,2547,3303,3739,3993,4211,4809,4646,4835,5112,5057,5030,5432,5518,5275,5137,5331,5205,5304,5371,5456,5430,5664,5760,5656,5640,5824,5869,5982,5802,5729,5538,5513,5469,5034,5602,6102,5944,6506,6282,6349,5895,5356,3360,3082,2683,2338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2024,236749,0,0,0,1,38,50,258,493,2190,2544,3398,3827,4065,4293,4451,4968,4844,4985,5216,5172,5118,5460,5534,5281,5172,5347,5222,5333,5417,5510,5483,5693,5796,5692,5677,5856,5884,5991,5810,5769,5637,5557,5496,5083,5641,6146,6354,6456,6155,6083,5296,3316,2905,2590,2196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2025,236672,0,0,0,1,37,49,255,494,2185,2577,3378,3896,4129,4342,4509,4647,5114,4983,5093,5307,5239,5164,5474,5516,5300,5192,5351,5251,5376,5468,5556,5515,5727,5825,5724,5711,5870,5893,5990,5845,5858,5674,5578,5528,5134,5699,6521,6309,6315,5901,5465,3279,2867,2441,2120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2026,236568,0,0,0,1,37,48,252,490,2177,2570,3401,3874,4185,4392,4546,4693,4830,5219,5087,5192,5359,5273,5198,5459,5519,5310,5204,5373,5296,5428,5515,5584,5554,5757,5852,5755,5728,5879,5895,6018,5931,5888,5691,5607,5565,5211,6113,6464,6175,6047,5301,3383,2835,2409,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2027,236436,0,0,0,1,37,48,249,484,2153,2556,3382,3883,4156,4429,4579,4716,4861,4959,5292,5180,5249,5378,5294,5198,5461,5512,5312,5229,5411,5348,5473,5542,5618,5586,5784,5878,5768,5739,5879,5924,6096,5956,5896,5714,5640,5621,5663,6076,6318,5915,5432,3282,2925,2382,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2028,236276,0,0,0,1,37,48,249,481,2146,2533,3369,3865,4164,4405,4611,4744,4880,4986,5058,5365,5238,5277,5391,5286,5217,5458,5502,5331,5272,5458,5396,5501,5577,5648,5617,5811,5888,5777,5743,5908,6003,6116,5962,5913,5744,5693,6031,5653,5954,6047,5314,3363,2837,2458,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2029,236088,0,0,0,1,36,48,248,480,2135,2524,3343,3850,4143,4406,4585,4767,4901,4999,5080,5151,5403,5264,5296,5375,5297,5226,5450,5512,5369,5323,5501,5426,5537,5608,5677,5648,5822,5893,5779,5775,5987,6024,6116,5976,5936,5792,6091,5997,5556,5710,5432,3290,2907,2384,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2030,233424,0,0,0,2,33,45,221,447,1918,2436,3196,3712,4029,4282,4483,4646,4827,4934,5015,5097,5142,5358,5231,5241,5336,5262,5195,5429,5511,5385,5341,5499,5437,5542,5613,5683,5642,5807,5871,5787,5825,5985,6004,6099,5971,5942,6058,6011,5847,5316,5130,3363,2844,2443,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2031,230608,0,0,0,1,33,44,214,415,1843,2225,3087,3559,3886,4160,4354,4537,4701,4849,4938,5022,5078,5107,5306,5171,5200,5288,5222,5178,5423,5515,5394,5340,5501,5439,5543,5614,5672,5627,5781,5871,5831,5822,5959,5987,6087,5967,6165,5973,5853,5577,4776,3176,2907,2390,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2032,227231,0,0,0,0,29,42,202,397,1735,2132,2850,3423,3718,4001,4213,4388,4568,4707,4836,4927,4986,5027,5055,5225,5120,5146,5232,5193,5171,5420,5508,5381,5337,5493,5435,5537,5594,5649,5602,5774,5903,5819,5794,5932,5967,6067,6145,6058,5808,5573,5011,2956,2746,2443,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2033,223673,0,0,0,0,27,39,197,380,1680,2021,2744,3193,3582,3834,4057,4247,4421,4573,4693,4822,4888,4932,4972,4982,5161,5065,5091,5195,5178,5172,5413,5487,5372,5328,5482,5428,5516,5569,5619,5596,5802,5884,5785,5769,5911,5944,6212,6032,5880,5525,5006,3103,2556,2308,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2034,219346,0,0,0,0,25,36,182,362,1570,1937,2584,3053,3337,3674,3870,4071,4258,4405,4540,4660,4765,4816,4861,4886,4915,5085,4998,5047,5168,5164,5160,5380,5460,5351,5310,5464,5403,5485,5532,5603,5616,5776,5841,5749,5741,5877,6050,6076,5842,5578,4964,3099,2683,2148,1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2035,214330,0,0,0,0,24,33,168,333,1450,1804,2442,2858,3170,3413,3682,3860,4058,4223,4352,4486,4586,4676,4728,4760,4802,4833,5001,4942,5009,5139,5137,5124,5346,5425,5323,5285,5427,5364,5442,5506,5609,5581,5724,5791,5709,5697,5930,5905,5868,5531,5012,3073,2678,2254,1757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
